TOKEN,N
0006,2
0006,2
00H30,2
00H30,2
00H45,2
00H45,2
0136,2
0136,2
03032020,2
03032020,2
05038162787,2
05038162787,2
0615,2
0615,2
0905,2
0905,2
09H,2
09H,2
1000H,2
1000H,2
1003,2
1003,2
10158,2
10158,2
10H30MIN,2
10H30MIN,2
10X,2
10X,2
1100,2
1100,2
110420,2
110420,2
11230,2
11230,2
1124,2
1124,2
12032020,2
12032020,2
1243,2
1243,2
126,2
126,2
1261,2
1261,2
128000000,2
128000000,2
1306,2
1306,2
133,2
133,2
139,2
139,2
145039,2
145039,2
146,2
146,2
1478,2
1478,2
14833,2
14833,2
151,2
151,2
1520,2
1520,2
157,2
157,2
15M,2
15M,2
16032020,2
16032020,2
1607,2
1607,2
1661,2
1661,2
1710H,2
1710H,2
182,2
182,2
1841,2
1841,2
186,2
186,2
1883,2
1883,2
18991500570,2
18991500570,2
1933,2
1933,2
1935,2
1935,2
1991,2
1991,2
19A,2
19A,2
19COMO,2
19COMO,2
19PARA,2
19PARA,2
19POREM,2
19POREM,2
19QUEM,2
19QUEM,2
19SE,2
19SE,2
19SUSPEITA,2
19SUSPEITA,2
1A,2
1A,2
1DELEGACIAS,2
1DELEGACIAS,2
1O,2
1O,2
2008,2
2008,2
2020MS,2
2020MS,2
205,2
205,2
20H30,2
20H30,2
216,2
216,2
218,2
218,2
2189,2
2189,2
21H40,2
21H40,2
227,2
227,2
2291,2
2291,2
234,2
234,2
25262,2
25262,2
261,2
261,2
2657,2
2657,2
269,2
269,2
278,2
278,2
283,2
283,2
290,2
290,2
2X,2
2X,2
304,2
304,2
30503333,2
30503333,2
308,2
308,2
30969090,2
30969090,2
364,2
364,2
3674,2
3674,2
36740244,2
36740244,2
36740246,2
36740246,2
36943,2
36943,2
373,2
373,2
3928,2
3928,2
395,2
395,2
39C,2
39C,2
40254,2
40254,2
409,2
409,2
40o,2
40o,2
423,2
423,2
4466,2
4466,2
4671,2
4671,2
478,2
478,2
4H,2
4H,2
528,2
528,2
55128,2
55128,2
553,2
553,2
560,2
560,2
562,2
562,2
564,2
564,2
57012,2
57012,2
612,2
612,2
648080,2
648080,2
674,2
674,2
7173841,2
7173841,2
757,2
757,2
809,2
809,2
815038162787,2
815038162787,2
818,2
818,2
819065908116,2
819065908116,2
850,2
850,2
875CLAVULANATO,2
875CLAVULANATO,2
9555,2
9555,2
957694045,2
957694045,2
986,2
986,2
991480547,2
991480547,2
992336090,2
992336090,2
996861060,2
996861060,2
997709147,2
997709147,2
997740616,2
997740616,2
998056857,2
998056857,2
999,2
999,2
A15,2
A15,2
AAAA,2
AAAA,2
AAS,2
AAS,2
ABALA,2
ABALA,2
ABANDONA,2
ABANDONA,2
ABASTO,2
ABASTO,2
ABATE,2
ABATE,2
ABELARDO,2
ABELARDO,2
ABIB,2
ABIB,2
ABILIO,2
ABILIO,2
ABISUDO,2
ABISUDO,2
ABORDAR,2
ABORDAR,2
ABRACANDO,2
ABRACANDO,2
ABRACOU,2
ABRACOU,2
ABREM,2
ABREM,2
ABRO,2
ABRO,2
ACALMADO,2
ACALMADO,2
ACENDE,2
ACENDE,2
ACENDEM,2
ACENDEM,2
ACERTO,2
ACERTO,2
ACERVO,2
ACERVO,2
ACESSEI,2
ACESSEI,2
ACETILCISTEINA,2
ACETILCISTEINA,2
ACHADOS,2
ACHADOS,2
ACIDENTALMENTE,2
ACIDENTALMENTE,2
ACIDENTAR,2
ACIDENTAR,2
ACOMPANHARIA,2
ACOMPANHARIA,2
ACONSELHADO,2
ACONSELHADO,2
ACONTECAM,2
ACONTECAM,2
ACONTECIA,2
ACONTECIA,2
ACORDEMMMMMMMMMMMM,2
ACORDEMMMMMMMMMMMM,2
ACOVARDAR,2
ACOVARDAR,2
ACREANO,2
ACREANO,2
ACREDITAVAM,2
ACREDITAVAM,2
ACRESCIDO,2
ACRESCIDO,2
ACRESCIDOS,2
ACRESCIDOS,2
ACRILICA,2
ACRILICA,2
ACRILICO,2
ACRILICO,2
ACS,2
ACS,2
ACUSAM,2
ACUSAM,2
ADAPTADA,2
ADAPTADA,2
ADELMO,2
ADELMO,2
ADIADAS,2
ADIADAS,2
ADIADO,2
ADIADO,2
ADIADOS,2
ADIADOS,2
ADIANTADO,2
ADIANTADO,2
ADMINISTRATIVOS,2
ADMINISTRATIVOS,2
ADOECERAO,2
ADOECERAO,2
ADOREI,2
ADOREI,2
ADORO,2
ADORO,2
ADOTAM,2
ADOTAM,2
ADQUIRE,2
ADQUIRE,2
ADQUIRINDO,2
ADQUIRINDO,2
ADVINDO,2
ADVINDO,2
ADVINHA,2
ADVINHA,2
AEROSOL,2
AEROSOL,2
AFASTAM,2
AFASTAM,2
AFINCO,2
AFINCO,2
AFIRMACOES,2
AFIRMACOES,2
AFP,2
AFP,2
AFRONTA,2
AFRONTA,2
AFTA,2
AFTA,2
AFTOSE,2
AFTOSE,2
AFUNDAR,2
AFUNDAR,2
AGEIS,2
AGEIS,2
AGENDAS,2
AGENDAS,2
AGIU,2
AGIU,2
AGONIZAM,2
AGONIZAM,2
AGRICULTORAS,2
AGRICULTORAS,2
AGRICULTORES,2
AGRICULTORES,2
AGUARDASE,2
AGUARDASE,2
AGUARDEI,2
AGUARDEI,2
AHH,2
AHH,2
AIDETICOS,2
AIDETICOS,2
AKABAR,2
AKABAR,2
ALAGOANO,2
ALAGOANO,2
ALAGOANOS,2
ALAGOANOS,2
ALANA,2
ALANA,2
ALARMA,2
ALARMA,2
ALASTRADO,2
ALASTRADO,2
ALCANCOU,2
ALCANCOU,2
ALEITAMENTO,2
ALEITAMENTO,2
ALERGICOS,2
ALERGICOS,2
ALGUNA,2
ALGUNA,2
ALGUSN,2
ALGUSN,2
ALIEL,2
ALIEL,2
ALIENS,2
ALIENS,2
ALIMENTADOS,2
ALIMENTADOS,2
ALIMENTARES,2
ALIMENTARES,2
ALIMENTAVA,2
ALIMENTAVA,2
ALINHADO,2
ALINHADO,2
ALIVIOU,2
ALIVIOU,2
ALL,2
ALL,2
ALMENTAR,2
ALMENTAR,2
ALMINO,2
ALMINO,2
ALPHAVILLE,2
ALPHAVILLE,2
ALTERARA,2
ALTERARA,2
ALTERARAM,2
ALTERARAM,2
ALTISSIMA,2
ALTISSIMA,2
ALTISSIMOS,2
ALTISSIMOS,2
ALUCINACAO,2
ALUCINACAO,2
ALUIZIO,2
ALUIZIO,2
ALV,2
ALV,2
ALVARENGA,2
ALVARENGA,2
AMADORES,2
AMADORES,2
AMAMENTANDO,2
AMAMENTANDO,2
AMARRANDO,2
AMARRANDO,2
AMARRE,2
AMARRE,2
AMAZONIAREAL,2
AMAZONIAREAL,2
AMBULANTE,2
AMBULANTE,2
AMENIZAM,2
AMENIZAM,2
AMIGUINHO,2
AMIGUINHO,2
AMILCAR,2
AMILCAR,2
AMNHA,2
AMNHA,2
AMOSTRAM,2
AMOSTRAM,2
ANAFILATICO,2
ANAFILATICO,2
ANALISAMOS,2
ANALISAMOS,2
ANALISEM,2
ANALISEM,2
ANALIZAR,2
ANALIZAR,2
ANANIAS,2
ANANIAS,2
ANCORA,2
ANCORA,2
ANDEI,2
ANDEI,2
ANEL,2
ANEL,2
ANFITRIA,2
ANFITRIA,2
ANGIOCOR,2
ANGIOCOR,2
ANGIOPLASTIA,2
ANGIOPLASTIA,2
ANGUSTIANTE,2
ANGUSTIANTE,2
ANITA,2
ANITA,2
ANNE,2
ANNE,2
ANONIMOS,2
ANONIMOS,2
ANOTA,2
ANOTA,2
ANTA,2
ANTA,2
ANTIBACTERIANO,2
ANTIBACTERIANO,2
ANTIFLAMATORIO,2
ANTIFLAMATORIO,2
ANTIPATIA,2
ANTIPATIA,2
ANTISSEPTICO,2
ANTISSEPTICO,2
ANUALMENTE,2
ANUALMENTE,2
ANUNCIASE,2
ANUNCIASE,2
ANVISAOFICIAL,2
ANVISAOFICIAL,2
APARECEREMFABIEN,2
APARECEREMFABIEN,2
APARENTE,2
APARENTE,2
APARICOES,2
APARICOES,2
APATICO,2
APATICO,2
APERTADO,2
APERTADO,2
APIUNA,2
APIUNA,2
APLAUDIDO,2
